k_subset,language_resource_tier,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,low,crest,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,2622,1036,1036,0,0,0.7167851284855112,1.0,0.7167851284855112,0.7167851284855112,0.8350318471337579,0.28321487151448876,0.28321487151448876,,,,0.7688606308091853,0.77734375,0.15547752455302952,0.6647452995254408,0.7109375,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,gpt_oss_safeguard,3262,973,4,2315,943,0.001226241569589209,0.7096873083997548,0.28908645003065603,3262,0,3,1,3259,0,0,0.75,1.0,0.0009196811771919068,0.75,0.8571428571428571,0.9990803188228081,0.25,,,,,,,,,0.8868246471028545,0.8984423726797104,0.06977176792052114,55.905272838749234,47.0,33.505878457845036
1,low,guardreasoner,3658,1040,3612,0,46,0.9874248223072717,0.0,0.012575177692728267,3658,0,1979,1633,1679,0,0,0.5478959025470653,1.0,0.5410060142154183,0.5478959025470653,0.7079234483992131,0.4589939857845817,0.4521040974529347,,,,,,,,,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,llamaguard3,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,1088,2570,2570,0,0,0.2974302897758338,1.0,0.2974302897758338,0.2974302897758338,0.4584913611462284,0.7025697102241663,0.7025697102241663,,,,,,,,,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,llamaguard_permissive,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,255,3403,3403,0,0,0.06971022416621105,1.0,0.06971022416621105,0.06971022416621105,0.1303347814975722,0.9302897758337889,0.9302897758337889,,,,0.6667650977303383,0.6513549089431763,0.09093973431436822,0.33810646444999043,0.3486451506614685,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,mdjudge,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,0,3658,3658,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9984479524549595,0.9992792010307312,0.002269223893585493,0.0015520445467292728,0.0007208380266092718,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,nemotron,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,1189,2469,2469,0,0,0.32504100601421543,1.0,0.32504100601421543,0.32504100601421543,0.4906127501547349,0.6749589939857846,0.6749589939857846,,,,,,,,,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,qwen3guard_gen,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,2178,1480,1480,0,0,0.5954073264078732,1.0,0.5954073264078732,0.5954073264078732,0.746401644962303,0.40459267359212686,0.40459267359212686,,,,,,,,,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,shieldgemma,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,222,3436,3436,0,0,0.06068890103881903,1.0,0.06068890103881903,0.06068890103881903,0.11443298969072166,0.9393110989611809,0.9393110989611809,,,,0.9473051360032805,0.9921875,0.10086531461660181,0.07932579497811311,0.00860595703125,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
1,low,wildguard,3658,1040,3658,0,0,1.0,0.0,0.0,3658,0,3596,62,62,0,0,0.9830508474576272,1.0,0.9830508474576272,0.9830508474576272,0.9914529914529915,0.01694915254237288,0.01694915254237288,,,,0.9867552709814106,1.0,0.05719791114033177,0.9771115327546217,1.0,0.8874634885157373,0.8987042158842087,0.06957250204910828,55.79086932750137,47.0,33.44899682062432
