k_subset,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,model_short
1,gpt_oss_safeguard,4832,1134,29,3430,1373,0.006001655629139073,0.7098509933774835,0.28414735099337746,4832,0,24,5,4808,0,0,0.8275862068965517,1.0,0.004966887417218543,0.8275862068965517,0.9056603773584906,0.9950331125827815,0.1724137931034483,,,,,,,,,0.88638524392262,0.8986988067626953,0.06670350126282942,55.500413907284766,47.0,32.971663813162266,GPT-OSS
1,mdjudge,5403,1199,5403,0,0,1.0,0.0,0.0,5403,0,0,5403,5403,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9977567188170096,0.9991638660430908,0.003105222337842624,0.0022432784653710694,0.0008360903011634946,0.8867642385097382,0.8987603783607483,0.0665094696691175,55.52452341291875,47.0,33.157108374168494,MD-Judge
2,crest,10418,1626,10418,0,0,1.0,0.0,0.0,10418,0,7683,2735,2735,0,0,0.7374736033787676,1.0,0.7374736033787676,0.7374736033787676,0.8489033755041159,0.2625263966212325,0.2625263966212325,,,,0.7870760042714533,0.80859375,0.15723556510874023,0.6880725985823815,0.75390625,0.8810631593749754,0.8949466496706009,0.07111257367210608,57.245920522173165,47.0,35.055128694246754,CREST
2,wildguard,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,7244,3175,3175,0,0,0.6952682599097803,1.0,0.6952682599097803,0.6952682599097803,0.8202457113740588,0.3047317400902198,0.3047317400902198,,,,0.9798823813465783,1.0,0.06806104133203023,0.6965827935983319,1.0,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,WildGuard
2,qwen3guard_gen,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,6892,3527,3527,0,0,0.6614838276226125,1.0,0.6614838276226125,0.6614838276226125,0.7962567153832822,0.33851617237738746,0.33851617237738746,,,,,,,,,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,Qwen3Guard
2,guardreasoner,10419,1626,10244,0,175,0.983203762357232,0.0,0.01679623764276802,10419,0,6487,3757,3932,0,0,0.633248730964467,1.0,0.6226125347922066,0.633248730964467,0.7754467754467754,0.3773874652077934,0.366751269035533,,,,,,,,,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,GuardReasoner
2,aprielguard,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,4235,6184,6184,0,0,0.4064689509549861,1.0,0.4064689509549861,0.4064689509549861,0.5779991811109595,0.593531049045014,0.593531049045014,,,,,,,,,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,AprielGuard
2,nemotron,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,4097,6322,6322,0,0,0.3932239178424033,1.0,0.3932239178424033,0.3932239178424033,0.5644805731606503,0.6067760821575967,0.6067760821575967,,,,,,,,,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,Nemotron
2,llamaguard3,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,3432,6987,6987,0,0,0.32939821479988485,1.0,0.32939821479988485,0.32939821479988485,0.4955598873727529,0.6706017852001152,0.6706017852001152,,,,,,,,,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,LlamaGuard3
2,xguard,2110,812,590,0,1520,0.2796208530805687,0.0,0.7203791469194313,2110,0,546,44,1564,0,0,0.9254237288135593,1.0,0.25876777251184835,0.9254237288135593,0.9612676056338029,0.7412322274881517,0.07457627118644068,,,,,,,,,0.8809590860212584,0.8951968252658844,0.07213203919096102,56.628909952606634,47.0,35.20061341342383,X-Guard
2,llamaguard_permissive,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,1242,9177,9177,0,0,0.11920529801324503,1.0,0.11920529801324503,0.11920529801324503,0.21301775147928995,0.8807947019867549,0.8807947019867549,,,,0.6563267727046476,0.6513549089431763,0.09319707676023477,0.35492340032676667,0.3486451506614685,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,LlamaGuard-Perm
2,gpt_oss_safeguard,4128,1129,93,0,4035,0.02252906976744186,0.0,0.9774709302325582,4128,0,74,19,4054,0,0,0.7956989247311828,1.0,0.017926356589147287,0.7956989247311828,0.8862275449101796,0.9820736434108527,0.20430107526881722,,,,,,,,,0.8808967548119294,0.8950484395027161,0.07191752826054537,57.60174418604651,48.0,35.3819659608004,GPT-OSS
2,shieldgemma,10419,1626,414,10005,0,0.039735099337748346,0.9602649006622517,0.0,10419,0,30,384,10389,0,0,0.07246376811594203,1.0,0.0028793550244745176,0.07246376811594203,0.13513513513513511,0.9971206449755254,0.927536231884058,,,,0.9359903381642513,0.9921875,0.11707018508854654,0.09366605707988647,0.00860595703125,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,ShieldGemma
2,mdjudge,10419,1626,10419,0,0,1.0,0.0,0.0,10419,0,0,10419,10419,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9976996288256998,0.9991507530212402,0.0031761581365893133,0.0023003688432632658,0.0008492456981912255,0.8810645340292808,0.894963264465332,0.07110929906208088,57.24263365006239,47.0,35.0550517625208,MD-Judge
3,wildguard,15021,1897,15021,0,0,1.0,0.0,0.0,15021,0,14440,581,581,0,0,0.9613208175221357,1.0,0.9613208175221357,0.9613208175221357,0.9802790129323513,0.038679182477864324,0.038679182477864324,,,,0.9774474589741029,1.0,0.0742447391087974,0.9536247979736735,1.0,0.8764055023244136,0.8918468952178955,0.07542153423455479,58.28240463351308,48.0,36.46165747761552,WildGuard
3,qwen3guard_gen,15085,1901,15085,0,0,1.0,0.0,0.0,15085,0,10027,5058,5058,0,0,0.6647000331455087,1.0,0.6647000331455087,0.6647000331455087,0.7985823510672188,0.3352999668544912,0.3352999668544912,,,,,,,,,0.8764475515812393,0.8918805122375488,0.07540379723919402,58.31017567119655,48.0,36.480613603981446,Qwen3Guard
3,nemotron,15085,1901,15085,0,0,1.0,0.0,0.0,15085,0,5969,9116,9116,0,0,0.3956910838581372,1.0,0.3956910838581372,0.3956910838581372,0.5670181438206517,0.6043089161418628,0.6043089161418628,,,,,,,,,0.8764475515812393,0.8918805122375488,0.07540379723919402,58.31017567119655,48.0,36.480613603981446,Nemotron
3,llamaguard_permissive,15085,1901,15085,0,0,1.0,0.0,0.0,15085,0,1832,13253,13253,0,0,0.1214451441829632,1.0,0.1214451441829632,0.1214451441829632,0.2165868652834427,0.8785548558170367,0.8785548558170367,,,,0.6548564498970593,0.6513549089431763,0.0931234367425267,0.35651626103577094,0.3486451506614685,0.8764475515812393,0.8918805122375488,0.07540379723919402,58.31017567119655,48.0,36.480613603981446,LlamaGuard-Perm
3,llamaguard3,15085,1901,39,15046,0,0.0025853496851176664,0.9974146503148823,0.0,15085,0,16,23,15069,0,0,0.41025641025641024,1.0,0.0010606562810739145,0.41025641025641024,0.5818181818181819,0.9989393437189261,0.5897435897435898,,,,,,,,,0.8764475515812393,0.8918805122375488,0.07540379723919402,58.31017567119655,48.0,36.480613603981446,LlamaGuard3
