k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
1,Finnish,54,12,wildguard,WildGuard,0.9814814814814815,1.0,0.0,0.01851851851851849
1,Polish,54,12,wildguard,WildGuard,0.9814814814814815,1.0,0.0,0.01851851851851849
1,Russian,54,12,wildguard,WildGuard,0.9814814814814815,1.0,0.0,0.01851851851851849
1,Slovenian,54,12,wildguard,WildGuard,0.9814814814814815,1.0,0.0,0.01851851851851849
1,Indonesian,55,12,wildguard,WildGuard,0.9818181818181818,1.0,0.0,0.018181818181818188
1,Irish,55,12,wildguard,WildGuard,0.9818181818181818,1.0,0.0,0.018181818181818188
1,Swedish,55,12,wildguard,WildGuard,0.9818181818181818,1.0,0.0,0.018181818181818188
1,Ukrainian,55,12,wildguard,WildGuard,0.9818181818181818,1.0,0.0,0.018181818181818188
1,Wolof,55,12,wildguard,WildGuard,0.9818181818181818,1.0,0.0,0.018181818181818188
1,Maori,67,12,wildguard,WildGuard,0.9850746268656716,1.0,0.0,0.014925373134328401
1,Amharic,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Arabic,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Armenian,56,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Assamese,52,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Azerbaijani,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Belarusian,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Bengali,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Bulgarian,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Burmese,52,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Chinese (Simplified),51,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Chinese (Traditional),48,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Danish,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Estonian,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Fula,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Ganda,63,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Georgian,47,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Greek,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Gujarati,56,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Hausa,37,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Hebrew,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Hindi,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Icelandic,52,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Igbo,65,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Japanese,49,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Javanese,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Kannada,55,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Kazakh,52,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Khmer,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Kyrgyz,51,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Lao,52,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Latvian,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Lingala,66,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Lithuanian,54,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Luo,62,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Luxembourgish,71,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Macedonian,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Malayalam,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Maltese,71,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Marathi,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Mongolian,49,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Nepali,57,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Northern Sotho,65,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
1,Norwegian,53,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
