k_subset,quality_bucket,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
1,low_quality,qwen3guard_gen,1792,722,1792,0,0,1.0,0.0,0.0,1792,0,1157,635,635,0,0,0.6456473214285714,1.0,0.6456473214285714,0.6456473214285714,0.7846727704306544,0.35435267857142855,0.35435267857142855,,,,,,,,,0.8119141587022958,0.8268099278211594,0.04916078614627678,63.76953125,54.0,37.53037717268183
1,low_quality,shieldgemma,1792,722,1792,0,0,1.0,0.0,0.0,1792,0,137,1655,1655,0,0,0.07645089285714286,1.0,0.07645089285714286,0.07645089285714286,0.1420425090720581,0.9235491071428571,0.9235491071428571,,,,0.9393572126116071,0.9921875,0.1108940994706427,0.09277416339942388,0.00860595703125,0.8119141587022958,0.8268099278211594,0.04916078614627678,63.76953125,54.0,37.53037717268183
1,low_quality,wildguard,1792,722,1792,0,0,1.0,0.0,0.0,1792,0,1747,45,45,0,0,0.9748883928571429,1.0,0.9748883928571429,0.9748883928571429,0.9872845436564002,0.025111607142857144,0.025111607142857144,,,,0.9856305803571429,1.0,0.0613155700099948,0.9700961496148791,1.0,0.8119141587022958,0.8268099278211594,0.04916078614627678,63.76953125,54.0,37.53037717268183
1,low_quality,xguard,1792,722,1789,0,3,0.9983258928571429,0.0,0.0016741071428571428,1792,0,518,1271,1274,0,0,0.28954723309111235,1.0,0.2890625,0.28954723309111235,0.44906805374945813,0.7109375,0.7104527669088877,,,,,,,,,0.8119141587022958,0.8268099278211594,0.04916078614627678,63.76953125,54.0,37.53037717268183
1,standard_quality,aprielguard,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,696,1045,1045,0,0,0.39977024698449165,1.0,0.39977024698449165,0.39977024698449165,0.5711940910956093,0.6002297530155083,0.6002297530155083,,,,,,,,,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,crest,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,1295,446,446,0,0,0.7438253877082137,1.0,0.7438253877082137,0.7438253877082137,0.8530961791831357,0.25617461229178634,0.25617461229178634,,,,0.7872675545663412,0.80859375,0.15331269499958514,0.6866915734042935,0.75390625,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,gpt_oss_safeguard,1549,605,8,1079,462,0.005164622336991607,0.6965784377017431,0.29825693996126534,1549,0,7,1,1542,0,0,0.875,1.0,0.004519044544867657,0.875,0.9333333333333333,0.9954809554551324,0.125,,,,,,,,,0.8968974691271551,0.8986515998840332,0.023357577326794974,56.446739832149774,48.0,32.57889307396989
1,standard_quality,guardreasoner,1741,653,1711,0,30,0.9827685238368754,0.0,0.01723147616312464,1741,0,1058,653,683,0,0,0.6183518410286383,1.0,0.607696726019529,0.6183518410286383,0.7641747923438064,0.392303273980471,0.3816481589713618,,,,,,,,,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,llamaguard3,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,547,1194,1194,0,0,0.3141872487076393,1.0,0.3141872487076393,0.3141872487076393,0.4781468531468532,0.6858127512923607,0.6858127512923607,,,,,,,,,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
1,standard_quality,llamaguard_permissive,1741,653,1741,0,0,1.0,0.0,0.0,1741,0,191,1550,1550,0,0,0.10970706490522689,1.0,0.10970706490522689,0.10970706490522689,0.19772256728778467,0.8902929350947731,0.8902929350947731,,,,0.6591261741007148,0.6513549089431763,0.09312732910029513,0.35118291476534946,0.3486451506614685,0.8968649755463663,0.8986796736717224,0.023320777609557752,56.38253877082137,48.0,32.79759618660953
