k_subset,prompt_len_bin,classifier_name,evasion_rate_strict,unsafe_recall_strict,n,mean_prompt_len
1,"(42.0, 54.0]",nemotron,0.6499102333931778,0.3500897666068223,1114,48.06193895870736
1,"(42.0, 54.0]",qwen3guard_gen,0.29084380610412924,0.7091561938958707,1114,48.06193895870736
1,"(42.0, 54.0]",shieldgemma,0.9183123877917415,0.08168761220825853,1114,48.06193895870736
1,"(42.0, 54.0]",wildguard,0.026032315978456014,0.973967684021544,1114,48.06193895870736
1,"(42.0, 54.0]",xguard,0.6804308797127468,0.31956912028725315,1114,48.06193895870736
1,"(54.0, 74.0]",aprielguard,0.5371747211895911,0.4628252788104089,1076,64.77695167286245
1,"(54.0, 74.0]",crest,0.22490706319702602,0.775092936802974,1076,64.77695167286245
1,"(54.0, 74.0]",gpt_oss_safeguard,0.9968814968814969,0.0031185031185031187,962,64.72972972972973
1,"(54.0, 74.0]",guardreasoner,0.4117100371747212,0.5882899628252788,1076,64.77695167286245
1,"(54.0, 74.0]",llamaguard3,0.6189591078066915,0.38104089219330856,1076,64.77695167286245
1,"(54.0, 74.0]",llamaguard_permissive,0.9005576208178439,0.09944237918215613,1076,64.77695167286245
1,"(54.0, 74.0]",mdjudge,1.0,0.0,1076,64.77695167286245
1,"(54.0, 74.0]",nemotron,0.5594795539033457,0.44052044609665425,1076,64.77695167286245
1,"(54.0, 74.0]",qwen3guard_gen,0.3150557620817844,0.6849442379182156,1076,64.77695167286245
1,"(54.0, 74.0]",shieldgemma,0.9302973977695167,0.06970260223048327,1076,64.77695167286245
1,"(54.0, 74.0]",wildguard,0.02695167286245353,0.9730483271375465,1076,64.77695167286245
1,"(54.0, 74.0]",xguard,0.6868029739776952,0.3131970260223048,1076,64.77695167286245
1,"(74.0, 496.0]",aprielguard,0.5525773195876289,0.44742268041237115,970,110.57422680412371
1,"(74.0, 496.0]",crest,0.2824742268041237,0.7175257731958763,970,110.57422680412371
1,"(74.0, 496.0]",gpt_oss_safeguard,0.9965317919075144,0.003468208092485549,865,110.37803468208092
1,"(74.0, 496.0]",guardreasoner,0.3422680412371134,0.6577319587628866,970,110.57422680412371
1,"(74.0, 496.0]",llamaguard3,0.5938144329896907,0.4061855670103093,970,110.57422680412371
1,"(74.0, 496.0]",llamaguard_permissive,0.8,0.2,970,110.57422680412371
1,"(74.0, 496.0]",mdjudge,1.0,0.0,970,110.57422680412371
1,"(74.0, 496.0]",nemotron,0.5876288659793815,0.41237113402061853,970,110.57422680412371
1,"(74.0, 496.0]",qwen3guard_gen,0.2958762886597938,0.7041237113402062,970,110.57422680412371
1,"(74.0, 496.0]",shieldgemma,0.9474226804123711,0.05257731958762887,970,110.57422680412371
1,"(74.0, 496.0]",wildguard,0.015463917525773196,0.9845360824742269,970,110.57422680412371
1,"(74.0, 496.0]",xguard,0.7237113402061855,0.27628865979381445,970,110.57422680412371
2,"(0.999, 31.0]",aprielguard,0.6669806877060763,0.3330193122939237,2123,24.751295336787564
2,"(0.999, 31.0]",crest,0.3350612629594722,0.6649387370405277,2122,24.752120640904806
2,"(0.999, 31.0]",gpt_oss_safeguard,0.9858323494687131,0.014167650531286895,847,24.677685950413224
2,"(0.999, 31.0]",guardreasoner,0.35421573245407445,0.6457842675459255,2123,24.751295336787564
2,"(0.999, 31.0]",llamaguard3,0.7550635892604804,0.24493641073951955,2123,24.751295336787564
2,"(0.999, 31.0]",llamaguard_permissive,0.9269901083372586,0.0730098916627414,2123,24.751295336787564
2,"(0.999, 31.0]",mdjudge,1.0,0.0,2123,24.751295336787564
2,"(0.999, 31.0]",nemotron,0.6627414036740462,0.33725859632595384,2123,24.751295336787564
