k_subset,model_1,model_2,agreement,n_overlap_prompts
2,nemotron,wildguard,0.4231242312423124,1626
2,nemotron,aprielguard,0.7773677736777368,1626
2,nemotron,guardreasoner,0.6291021671826625,1615
2,nemotron,mdjudge,0.550430504305043,1626
2,gpt_oss_safeguard,qwen3guard_gen,0.711864406779661,59
2,gpt_oss_safeguard,llamaguard3,0.6271186440677966,59
2,gpt_oss_safeguard,llamaguard_permissive,0.2542372881355932,59
2,gpt_oss_safeguard,nemotron,0.5423728813559322,59
2,gpt_oss_safeguard,gpt_oss_safeguard,1.0,59
2,gpt_oss_safeguard,shieldgemma,0.3448275862068966,29
2,gpt_oss_safeguard,xguard,0.7368421052631579,38
2,gpt_oss_safeguard,crest,0.6779661016949152,59
2,gpt_oss_safeguard,wildguard,0.6610169491525424,59
2,gpt_oss_safeguard,aprielguard,0.6949152542372882,59
2,gpt_oss_safeguard,guardreasoner,0.6610169491525424,59
2,gpt_oss_safeguard,mdjudge,0.22033898305084745,59
2,shieldgemma,qwen3guard_gen,0.39100346020761245,289
2,shieldgemma,llamaguard3,0.6851211072664359,289
2,shieldgemma,llamaguard_permissive,0.8235294117647058,289
2,shieldgemma,nemotron,0.5847750865051903,289
2,shieldgemma,gpt_oss_safeguard,0.3448275862068966,29
2,shieldgemma,shieldgemma,1.0,289
2,shieldgemma,xguard,0.1951219512195122,123
2,shieldgemma,crest,0.28719723183391005,289
2,shieldgemma,wildguard,0.3044982698961938,289
2,shieldgemma,aprielguard,0.6193771626297578,289
2,shieldgemma,guardreasoner,0.3902439024390244,287
2,shieldgemma,mdjudge,0.9100346020761245,289
2,xguard,qwen3guard_gen,0.5982404692082112,341
2,xguard,llamaguard3,0.39296187683284456,341
2,xguard,llamaguard_permissive,0.15542521994134897,341
2,xguard,nemotron,0.4222873900293255,341
2,xguard,gpt_oss_safeguard,0.7368421052631579,38
2,xguard,shieldgemma,0.1951219512195122,123
2,xguard,xguard,1.0,341
2,xguard,crest,0.7360703812316716,341
2,xguard,wildguard,0.6803519061583577,341
2,xguard,aprielguard,0.41642228739002934,341
2,xguard,guardreasoner,0.5806451612903226,341
2,xguard,mdjudge,0.07624633431085044,341
2,crest,qwen3guard_gen,0.7533825338253383,1626
2,crest,llamaguard3,0.533210332103321,1626
2,crest,llamaguard_permissive,0.3210332103321033,1626
2,crest,nemotron,0.6100861008610086,1626
2,crest,gpt_oss_safeguard,0.6779661016949152,59
2,crest,shieldgemma,0.28719723183391005,289
2,crest,xguard,0.7360703812316716,341
2,crest,crest,1.0,1626
2,crest,wildguard,0.5793357933579336,1626
2,crest,aprielguard,0.5707257072570726,1626
2,crest,guardreasoner,0.621671826625387,1615
2,crest,mdjudge,0.21955719557195572,1626
2,wildguard,qwen3guard_gen,0.511070110701107,1626
2,wildguard,llamaguard3,0.4188191881918819,1626
2,wildguard,llamaguard_permissive,0.3025830258302583,1626
2,wildguard,nemotron,0.4231242312423124,1626
2,wildguard,gpt_oss_safeguard,0.6610169491525424,59
2,wildguard,shieldgemma,0.3044982698961938,289
2,wildguard,xguard,0.6803519061583577,341
2,wildguard,crest,0.5793357933579336,1626
2,wildguard,wildguard,1.0,1626
2,wildguard,aprielguard,0.42558425584255843,1626
2,wildguard,guardreasoner,0.5114551083591331,1615
2,wildguard,mdjudge,0.2736777367773678,1626
2,aprielguard,qwen3guard_gen,0.6918819188191881,1626
2,aprielguard,llamaguard3,0.7201722017220172,1626
2,aprielguard,llamaguard_permissive,0.6297662976629766,1626
2,aprielguard,nemotron,0.7773677736777368,1626
2,aprielguard,gpt_oss_safeguard,0.6949152542372882,59
2,aprielguard,shieldgemma,0.6193771626297578,289
2,aprielguard,xguard,0.41642228739002934,341
2,aprielguard,crest,0.5707257072570726,1626
2,aprielguard,wildguard,0.42558425584255843,1626
2,aprielguard,aprielguard,1.0,1626
2,aprielguard,guardreasoner,0.6260061919504644,1615
2,aprielguard,mdjudge,0.5787207872078721,1626
2,guardreasoner,qwen3guard_gen,0.6817337461300309,1615
2,guardreasoner,llamaguard3,0.5461300309597523,1615
2,guardreasoner,llamaguard_permissive,0.4582043343653251,1615
2,guardreasoner,nemotron,0.6291021671826625,1615
2,guardreasoner,gpt_oss_safeguard,0.6610169491525424,59
2,guardreasoner,shieldgemma,0.3902439024390244,287
2,guardreasoner,xguard,0.5806451612903226,341
2,guardreasoner,crest,0.621671826625387,1615
2,guardreasoner,wildguard,0.5114551083591331,1615
