k_subset,classifier_name,x,y,pearson,spearman,n
2,guardreasoner,combined_score,unsafe_detected_strict,0.04432612431344416,0.05164670049004442,10419
2,guardreasoner,selection_score,unsafe_detected_strict,0.04432612431344416,0.05164670049004442,10419
2,guardreasoner,prompt_len,unsafe_detected_strict,0.03506111766830948,-0.0008997514572577291,10419
2,guardreasoner,prompt_char_len,unsafe_detected_strict,0.006122957039975057,-0.033629869813963535,10419
2,llamaguard3,f1,unsafe_detected_strict,0.036245477625789044,0.02784572602574701,10419
2,llamaguard3,comet,unsafe_detected_strict,0.07327812418808516,0.0657151944023198,7894
2,llamaguard3,combined_score,unsafe_detected_strict,0.05121297297085685,0.0457669636257302,10419
2,llamaguard3,selection_score,unsafe_detected_strict,0.05121297297085685,0.0457669636257302,10419
2,llamaguard3,prompt_len,unsafe_detected_strict,0.1272008812078799,0.11687151278849794,10419
2,llamaguard3,prompt_char_len,unsafe_detected_strict,0.12882518638803658,0.12328638062057079,10419
2,llamaguard_permissive,f1,unsafe_detected_strict,-0.029241650728452223,-0.030100148667062294,10419
2,llamaguard_permissive,comet,unsafe_detected_strict,0.012269864054511718,-0.001383107973466163,7894
2,llamaguard_permissive,combined_score,unsafe_detected_strict,-0.030176911897557487,-0.03615970062615683,10419
2,llamaguard_permissive,selection_score,unsafe_detected_strict,-0.030176911897557487,-0.03615970062615683,10419
2,llamaguard_permissive,prompt_len,unsafe_detected_strict,0.16944580372411525,0.12949996260461308,10419
2,llamaguard_permissive,prompt_char_len,unsafe_detected_strict,0.1297334562958687,0.08255144525821456,10419
2,mdjudge,f1,unsafe_detected_strict,,,10419
2,mdjudge,comet,unsafe_detected_strict,,,7894
2,mdjudge,combined_score,unsafe_detected_strict,,,10419
2,mdjudge,selection_score,unsafe_detected_strict,,,10419
2,mdjudge,prompt_len,unsafe_detected_strict,,,10419
2,mdjudge,prompt_char_len,unsafe_detected_strict,,,10419
2,nemotron,f1,unsafe_detected_strict,0.08108596264430482,0.08042237977155742,10419
2,nemotron,comet,unsafe_detected_strict,0.09445603989073237,0.07098679257238001,7894
2,nemotron,combined_score,unsafe_detected_strict,0.088028796358348,0.08205868346933579,10419
2,nemotron,selection_score,unsafe_detected_strict,0.088028796358348,0.08205868346933579,10419
2,nemotron,prompt_len,unsafe_detected_strict,0.07469214577367797,0.061839266666063826,10419
2,nemotron,prompt_char_len,unsafe_detected_strict,0.058209672802748316,0.049506580946042066,10419
2,qwen3guard_gen,f1,unsafe_detected_strict,0.09143220750665941,0.08651428345482176,10419
2,qwen3guard_gen,comet,unsafe_detected_strict,0.12896556075656687,0.09052215488884341,7894
2,qwen3guard_gen,combined_score,unsafe_detected_strict,0.10137609480578665,0.09043523268450164,10419
2,qwen3guard_gen,selection_score,unsafe_detected_strict,0.10137609480578665,0.09043523268450164,10419
2,qwen3guard_gen,prompt_len,unsafe_detected_strict,0.11512706174965322,0.11400834573712747,10419
2,qwen3guard_gen,prompt_char_len,unsafe_detected_strict,0.09295936082001181,0.09042669936691876,10419
2,shieldgemma,f1,unsafe_detected_strict,0.023553553925889436,0.02709252388041326,10419
2,shieldgemma,comet,unsafe_detected_strict,0.01626196100503294,0.017466538676736063,7894
2,shieldgemma,combined_score,unsafe_detected_strict,0.026059199895109235,0.02806623265944415,10419
2,shieldgemma,selection_score,unsafe_detected_strict,0.026059199895109235,0.02806623265944415,10419
2,shieldgemma,prompt_len,unsafe_detected_strict,-0.013198112971593293,-0.015933759458941963,10419
2,shieldgemma,prompt_char_len,unsafe_detected_strict,-0.010862198569159062,-0.01418635906590179,10419
2,wildguard,f1,unsafe_detected_strict,0.007297662438232278,0.012420569204733037,10419
2,wildguard,comet,unsafe_detected_strict,-0.11566036898581555,-0.08523633684819197,7894
2,wildguard,combined_score,unsafe_detected_strict,-0.015688441935431955,-0.0008840292288905606,10419
2,wildguard,selection_score,unsafe_detected_strict,-0.015688441935431955,-0.0008840292288905606,10419
2,wildguard,prompt_len,unsafe_detected_strict,0.013927644717410398,0.007807235057661683,10419
2,wildguard,prompt_char_len,unsafe_detected_strict,0.0637006794589047,0.07136594163127886,10419
2,xguard,f1,unsafe_detected_strict,0.059715260682204764,0.05323596072892864,2110
2,xguard,comet,unsafe_detected_strict,0.004517922289321427,0.03802780413358505,1589
2,xguard,combined_score,unsafe_detected_strict,0.04696148144546605,0.04827177676563307,2110
2,xguard,selection_score,unsafe_detected_strict,0.04696148144546605,0.04827177676563307,2110
2,xguard,prompt_len,unsafe_detected_strict,-0.1282064848037986,-0.1380141637528031,2110
2,xguard,prompt_char_len,unsafe_detected_strict,-0.12439584218743886,-0.13404991131963823,2110
3,llamaguard3,f1,unsafe_detected_strict,0.0012433770188156753,0.0004206239466055659,15085
3,llamaguard3,comet,unsafe_detected_strict,0.0169427577360183,0.024691887236836737,11461
3,llamaguard3,combined_score,unsafe_detected_strict,0.008522209232423668,0.008166547477381537,15085
3,llamaguard3,selection_score,unsafe_detected_strict,0.008522209232423668,0.008166547477381537,15085
3,llamaguard3,prompt_len,unsafe_detected_strict,0.0017327361556378268,0.003054066057812193,15085
3,llamaguard3,prompt_char_len,unsafe_detected_strict,0.006433975327116016,0.009817147749790166,15085
3,llamaguard_permissive,f1,unsafe_detected_strict,-0.023136350260392166,-0.02846083026569868,15085
3,llamaguard_permissive,comet,unsafe_detected_strict,0.006514555769896627,-0.012702595470887012,11461
3,llamaguard_permissive,combined_score,unsafe_detected_strict,-0.02479306978834802,-0.036191785325651385,15085
