k_subset,combined_score_bin,classifier_name,evasion_rate_strict,unsafe_recall_strict,n
2,.90-.95,mdjudge,1.0,0.0,3533
2,.90-.95,nemotron,0.5547693178601755,0.44523068213982453,3533
2,.90-.95,qwen3guard_gen,0.27172374752335127,0.7282762524766487,3533
2,.90-.95,shieldgemma,0.9963204075856212,0.003679592414378715,3533
2,.90-.95,wildguard,0.3201245400509482,0.6798754599490519,3533
2,.90-.95,xguard,0.7231638418079096,0.2768361581920904,708
2,>.95,aprielguard,0.6346830985915493,0.3653169014084507,1136
2,>.95,crest,0.272887323943662,0.727112676056338,1136
2,>.95,gpt_oss_safeguard,0.9846827133479212,0.015317286652078774,457
2,>.95,guardreasoner,0.3653169014084507,0.6346830985915493,1136
2,>.95,llamaguard3,0.6663732394366197,0.3336267605633803,1136
2,>.95,llamaguard_permissive,0.9163732394366197,0.08362676056338028,1136
2,>.95,mdjudge,1.0,0.0,1136
2,>.95,nemotron,0.6065140845070423,0.39348591549295775,1136
2,>.95,qwen3guard_gen,0.3609154929577465,0.6390845070422535,1136
2,>.95,shieldgemma,0.9955985915492958,0.0044014084507042256,1136
2,>.95,wildguard,0.2623239436619718,0.7376760563380281,1136
2,>.95,xguard,0.7106382978723405,0.28936170212765955,235
3,<=.70,llamaguard3,1.0,0.0,357
3,<=.70,llamaguard_permissive,0.907563025210084,0.09243697478991597,357
3,<=.70,nemotron,0.8095238095238095,0.19047619047619047,357
3,<=.70,qwen3guard_gen,0.5910364145658263,0.40896358543417366,357
3,<=.70,wildguard,0.01971830985915493,0.9802816901408451,355
3,.70-.80,llamaguard3,1.0,0.0,1837
3,.70-.80,llamaguard_permissive,0.8873162765378334,0.11268372346216658,1837
3,.70-.80,nemotron,0.7452367991290147,0.2547632008709853,1837
3,.70-.80,qwen3guard_gen,0.5106151333696244,0.4893848666303756,1837
3,.70-.80,wildguard,0.015821058374249863,0.9841789416257501,1833
3,.80-.85,llamaguard3,0.9981834695731153,0.0018165304268846503,3303
3,.80-.85,llamaguard_permissive,0.851952770208901,0.148047229791099,3303
3,.80-.85,nemotron,0.5719043293975175,0.4280956706024826,3303
3,.80-.85,qwen3guard_gen,0.27823191038449896,0.7217680896155011,3303
3,.80-.85,wildguard,0.05195989061075661,0.9480401093892434,3291
3,.85-.90,llamaguard3,0.9990491283676703,0.0009508716323296355,3155
3,.85-.90,llamaguard_permissive,0.8709984152139462,0.1290015847860539,3155
3,.85-.90,nemotron,0.6218700475435817,0.3781299524564184,3155
3,.85-.90,qwen3guard_gen,0.3584786053882726,0.6415213946117274,3155
3,.85-.90,wildguard,0.042688754380375914,0.9573112456196241,3139
3,.90-.95,llamaguard3,0.9993875051041241,0.0006124948958758677,4898
3,.90-.95,llamaguard_permissive,0.8846467946100449,0.11535320538995508,4898
3,.90-.95,nemotron,0.54593711719069,0.4540628828093099,4898
3,.90-.95,qwen3guard_gen,0.2645977950183748,0.7354022049816251,4898
3,.90-.95,wildguard,0.042265080016413624,0.9577349199835864,4874
3,>.95,llamaguard3,0.9973924380704041,0.002607561929595828,1534
3,>.95,llamaguard_permissive,0.9146023468057366,0.08539765319426336,1534
3,>.95,nemotron,0.6075619295958279,0.3924380704041721,1534
3,>.95,qwen3guard_gen,0.3663624511082138,0.6336375488917861,1534
3,>.95,wildguard,0.02225130890052356,0.9777486910994765,1528
