k_subset,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len,common_prompt_count_for_k,n_models_compared_for_k
1,wildguard,5335,1134,5335,0,0,1.0,0.0,0.0,5335,0,5201,134,134,0,0,0.9748828491096533,1.0,0.9748828491096533,0.9748828491096533,0.9872817008352316,0.025117150890346766,0.025117150890346766,,,,0.9832649953139644,1.0,0.06574374480444904,0.9684840036980326,1.0,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
1,xguard,5335,1134,5332,0,3,0.9994376757263356,0.0,0.0005623242736644799,5335,0,1639,3693,3696,0,0,0.3073893473368342,1.0,0.30721649484536084,0.3073893473368342,0.4702338258499498,0.6927835051546392,0.6926106526631658,,,,,,,,,0.8868539542211141,0.8987896144390106,0.0666974612798336,55.47703842549203,47.0,33.21917912130956,1134,12
2,aprielguard,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,3576,5221,5221,0,0,0.4065022166647721,1.0,0.4065022166647721,0.4065022166647721,0.5780328133839813,0.593497783335228,0.593497783335228,,,,,,,,,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,crest,8796,812,8796,0,0,1.0,0.0,0.0,8796,0,6400,2396,2396,0,0,0.7276034561164165,1.0,0.7276034561164165,0.7276034561164165,0.842326928138984,0.2723965438835834,0.2723965438835834,,,,0.785641644639609,0.80859375,0.1565488520195598,0.6813018368612154,0.74609375,0.8812091709201433,0.8950148820877075,0.07359647176251262,56.43462937698954,47.0,34.654939035192236,812,12
2,gpt_oss_safeguard,3714,812,85,0,3629,0.022886375875067314,0.0,0.9771136241249326,3714,0,70,15,3644,0,0,0.8235294117647058,1.0,0.01884760366182014,0.8235294117647058,0.9032258064516129,0.9811523963381799,0.17647058823529413,,,,,,,,,0.8810091267350417,0.8951750248670578,0.07335414872844971,57.1023155627356,47.0,35.14412294943171,812,12
2,guardreasoner,8797,812,8655,0,142,0.9838581334545868,0.0,0.01614186654541321,8797,0,5507,3148,3290,0,0,0.6362796071634893,1.0,0.6260088666590883,0.6362796071634893,0.7777150120039542,0.37399113334091166,0.3637203928365107,,,,,,,,,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,llamaguard3,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,2828,5969,5969,0,0,0.32147322951006024,1.0,0.32147322951006024,0.32147322951006024,0.48653763440860215,0.6785267704899397,0.6785267704899397,,,,,,,,,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,llamaguard_permissive,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,1022,7775,7775,0,0,0.11617596908036831,1.0,0.11617596908036831,0.11617596908036831,0.20816783786536308,0.8838240309196317,0.8838240309196317,,,,0.657473316216477,0.6513549089431763,0.09347351980074449,0.35327942103886045,0.3486451506614685,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,mdjudge,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,0,8797,8797,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.997727528754806,0.9991573095321655,0.0031325910216529643,0.0022724690857788207,0.0008426422718912363,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,nemotron,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,3393,5404,5404,0,0,0.3856996703421621,1.0,0.3856996703421621,0.3856996703421621,0.5566858080393766,0.6143003296578379,0.6143003296578379,,,,,,,,,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,qwen3guard_gen,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,5752,3045,3045,0,0,0.653859270205752,1.0,0.653859270205752,0.653859270205752,0.7907072651041309,0.34614072979424804,0.34614072979424804,,,,,,,,,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,shieldgemma,8797,812,326,8471,0,0.03705808798454018,0.9629419120154599,0.0,8797,0,28,298,8769,0,0,0.08588957055214724,1.0,0.003182903262475844,0.08588957055214724,0.15819209039548024,0.9968170967375242,0.9141104294478528,,,,0.9343606211656442,0.9921875,0.11800226289110162,0.10168343087646858,0.00860595703125,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,wildguard,8797,812,8797,0,0,1.0,0.0,0.0,8797,0,6067,2730,2730,0,0,0.6896669319086052,1.0,0.6896669319086052,0.6896669319086052,0.816334768568353,0.31033306809139477,0.31033306809139477,,,,0.9790895511253837,1.0,0.06938865329038733,0.6915878986270332,1.0,0.8812107824367583,0.895015150308609,0.07359244334204676,56.43082869159941,47.0,34.65480253451314,812,12
2,xguard,2110,812,590,0,1520,0.2796208530805687,0.0,0.7203791469194313,2110,0,546,44,1564,0,0,0.9254237288135593,1.0,0.25876777251184835,0.9254237288135593,0.9612676056338029,0.7412322274881517,0.07457627118644068,,,,,,,,,0.8809590860212584,0.8951968252658844,0.07213203919096102,56.628909952606634,47.0,35.20061341342383,812,12
3,llamaguard3,15081,1897,39,15042,0,0.00258603540879252,0.9974139645912075,0.0,15081,0,16,23,15065,0,0,0.41025641025641024,1.0,0.0010609376036071877,0.41025641025641024,0.5818181818181819,0.9989390623963929,0.5897435897435898,,,,,,,,,0.876456937732038,0.8918887376785278,0.07540831280604149,58.2996485644188,48.0,36.45792685065674,1897,5
3,llamaguard_permissive,15081,1897,15081,0,0,1.0,0.0,0.0,15081,0,1832,13249,13249,0,0,0.121477355613023,1.0,0.121477355613023,0.121477355613023,0.21663808904393067,0.878522644386977,0.878522644386977,,,,0.6548623699193671,0.6513549089431763,0.09312539756530996,0.35651335743478907,0.3486451506614685,0.876456937732038,0.8918887376785278,0.07540831280604149,58.2996485644188,48.0,36.45792685065674,1897,5
3,nemotron,15081,1897,15081,0,0,1.0,0.0,0.0,15081,0,5968,9113,9113,0,0,0.3957297261454811,1.0,0.3957297261454811,0.3957297261454811,0.5670578174735141,0.6042702738545189,0.6042702738545189,,,,,,,,,0.876456937732038,0.8918887376785278,0.07540831280604149,58.2996485644188,48.0,36.45792685065674,1897,5
3,qwen3guard_gen,15081,1897,15081,0,0,1.0,0.0,0.0,15081,0,10025,5056,5056,0,0,0.6647437172601286,1.0,0.6647437172601286,0.6647437172601286,0.798613877160838,0.33525628273987135,0.33525628273987135,,,,,,,,,0.876456937732038,0.8918887376785278,0.07540831280604149,58.2996485644188,48.0,36.45792685065674,1897,5
3,wildguard,15021,1897,15021,0,0,1.0,0.0,0.0,15021,0,14440,581,581,0,0,0.9613208175221357,1.0,0.9613208175221357,0.9613208175221357,0.9802790129323513,0.038679182477864324,0.038679182477864324,,,,0.9774474589741029,1.0,0.0742447391087974,0.9536247979736735,1.0,0.8764055023244136,0.8918468952178955,0.07542153423455479,58.28240463351308,48.0,36.46165747761552,1897,5
