k_subset,language,prompts,language_resource_tier,mean_chars,median_chars,p95_chars,mean_words,median_words
1,Filipino (Tagalog),55,low,63.70909090909091,56.0,129.5,10.781818181818181,10.0
1,Javanese,53,low,63.490566037735846,51.0,135.99999999999997,9.962264150943396,8.0
1,German,54,high,63.370370370370374,56.5,129.24999999999991,10.5,9.0
1,Azerbaijani,54,low,62.574074074074076,56.0,111.79999999999984,8.74074074074074,8.0
1,Kyrgyz,51,low,62.31372549019608,55.0,128.5,8.784313725490197,7.0
1,Slovak,55,low,62.21818181818182,49.0,147.5,10.581818181818182,9.0
1,Serbian,54,low,62.166666666666664,53.0,130.34999999999988,11.25925925925926,10.0
1,Welsh,54,low,61.46296296296296,45.5,135.39999999999998,11.166666666666666,9.0
1,Burmese,52,low,61.34615384615385,54.0,118.44999999999999,5.115384615384615,4.0
1,Ukrainian,55,medium,61.32727272727273,54.0,140.89999999999992,10.018181818181818,8.0
1,Kazakh,52,low,60.82692307692308,48.5,119.04999999999995,8.692307692307692,7.0
1,Latvian,53,low,60.735849056603776,48.0,137.19999999999996,9.962264150943396,8.0
1,Swedish,55,medium,60.6,52.0,131.79999999999998,11.272727272727273,9.0
1,Bulgarian,54,medium,60.44444444444444,50.5,119.84999999999994,10.648148148148149,9.0
1,Khmer,54,low,59.98148148148148,58.5,103.35,5.425925925925926,3.0
1,Mongolian,49,low,59.91836734693877,52.0,117.99999999999994,9.673469387755102,8.0
1,Ganda,63,low,59.82539682539682,54.0,128.79999999999998,8.158730158730158,7.0
1,Lao,52,low,59.63461538461539,49.0,121.74999999999986,2.8846153846153846,2.0
1,Galician,55,low,59.345454545454544,48.0,147.3,10.927272727272728,10.0
1,Malayalam,53,low,59.301886792452834,56.0,104.79999999999998,6.679245283018868,6.0
1,Belarusian,54,low,59.2962962962963,46.5,136.44999999999985,9.75925925925926,7.0
1,Dutch,54,medium,58.72222222222222,55.0,110.09999999999997,10.648148148148149,10.0
1,Norwegian,53,medium,58.471698113207545,53.0,107.79999999999998,11.415094339622641,10.0
1,Danish,55,medium,58.4,49.0,131.49999999999994,10.945454545454545,9.0
1,Igbo,65,low,58.2,49.0,90.8,12.03076923076923,11.0
1,Kannada,55,low,58.10909090909091,50.0,103.69999999999995,7.545454545454546,7.0
1,Lithuanian,54,low,57.907407407407405,49.0,139.04999999999998,8.537037037037036,7.0
1,Afrikaans,55,low,57.654545454545456,48.0,132.29999999999984,11.145454545454545,9.0
1,Slovenian,54,low,57.574074074074076,50.0,124.04999999999998,9.574074074074074,8.0
1,Sindhi,53,low,57.471698113207545,50.0,104.99999999999997,12.660377358490566,12.0
1,Romanian,54,medium,57.24074074074074,51.0,107.19999999999993,10.62962962962963,9.0
1,Luo,62,low,56.96774193548387,51.5,105.0,10.629032258064516,9.0
1,Bosnian,55,low,56.90909090909091,46.0,115.49999999999999,10.018181818181818,9.0
1,Telugu,52,low,56.36538461538461,50.5,99.89999999999999,8.173076923076923,7.0
1,Pashto,54,low,55.75925925925926,49.5,103.44999999999996,13.0,11.0
1,Catalan,55,low,55.67272727272727,43.0,124.49999999999993,10.254545454545454,8.0
1,Turkish,54,medium,55.666666666666664,46.0,103.74999999999997,7.666666666666667,7.0
1,Urdu,54,medium,55.18518518518518,51.0,103.79999999999995,12.425925925925926,12.0
1,Yoruba,63,low,54.04761904761905,51.0,102.59999999999998,12.88888888888889,11.0
1,Xhosa,33,low,53.96969696969697,52.0,98.19999999999999,6.242424242424242,6.0
1,Assamese,52,low,53.76923076923077,43.5,105.59999999999988,9.365384615384615,7.5
1,Czech,55,medium,53.763636363636365,45.0,107.59999999999994,8.927272727272728,7.0
1,Somali,39,low,53.41025641025641,48.0,82.30000000000007,8.76923076923077,8.0
1,Bengali,53,medium,52.698113207547166,48.0,80.4,9.11320754716981,8.0
1,Oromo,28,low,52.5,59.5,83.89999999999999,6.892857142857143,7.5
1,Croatian,55,low,51.92727272727273,42.0,111.49999999999999,8.981818181818182,7.0
1,Polish,54,medium,51.351851851851855,42.0,96.34999999999977,7.888888888888889,7.0
1,Marathi,53,low,50.320754716981135,49.0,85.79999999999998,8.660377358490566,8.0
1,Hausa,37,low,49.054054054054056,41.0,96.99999999999991,9.864864864864865,9.0
1,Fula,55,low,48.70909090909091,46.0,89.89999999999999,9.0,8.0
1,Wolof,55,low,46.981818181818184,41.0,80.89999999999996,10.254545454545454,9.0
1,Hebrew,55,medium,46.27272727272727,41.0,93.79999999999993,9.018181818181818,8.0
1,Persian,54,medium,46.111111111111114,40.5,86.44999999999996,9.685185185185185,8.0
1,Arabic,55,high,44.236363636363635,37.0,79.39999999999995,8.218181818181819,7.0
1,Icelandic,52,low,43.94230769230769,37.5,82.44999999999999,7.8076923076923075,7.0
1,Thai,51,medium,42.27450980392157,39.0,69.0,1.5098039215686274,1.0
1,Amharic,53,low,40.528301886792455,33.0,83.99999999999994,8.09433962264151,7.0
1,Korean,51,high,35.21568627450981,28.0,69.5,9.03921568627451,7.0
1,English,25,high,30.6,27.0,52.599999999999994,6.32,6.0
1,Japanese,49,high,21.285714285714285,20.0,38.599999999999994,1.5918367346938775,1.0
1,Chinese (Simplified),51,high,18.274509803921568,15.0,42.5,1.3529411764705883,1.0
1,Chinese (Traditional),48,high,13.666666666666666,13.0,21.0,1.1041666666666667,1.0
2,Cebuano,136,low,85.19117647058823,68.5,219.0,14.625,12.0
2,Northern Sotho,126,low,78.18253968253968,65.0,189.25,15.777777777777779,13.0
2,Nyanja,125,low,77.472,66.0,199.39999999999998,10.48,9.0
2,Luxembourgish,139,low,74.63309352517986,68.0,159.69999999999996,12.597122302158274,12.0
2,Tajik,131,low,73.96946564885496,63.0,164.0,12.648854961832061,11.0
2,French,106,high,73.31132075471699,65.5,164.5,13.150943396226415,11.0
2,Nepali,109,low,73.14678899082568,63.0,154.39999999999995,12.045871559633028,10.0
2,Maori,128,low,72.9296875,67.0,148.95,15.9140625,15.0
2,Maltese,138,low,72.80434782608695,61.0,169.45000000000002,11.456521739130435,10.0
2,Armenian,106,low,72.38679245283019,60.0,155.75,11.10377358490566,9.0
2,Zulu,133,low,71.77443609022556,62.0,155.39999999999986,8.06015037593985,7.0
2,Oriya (Odia),130,low,71.74615384615385,61.0,175.55,12.392307692307693,10.0
2,Shona,127,low,70.88976377952756,64.0,154.39999999999986,8.858267716535433,8.0
2,Asturian,139,low,70.87769784172662,59.0,164.1,12.215827338129497,10.0
2,Hindi,108,medium,70.63888888888889,60.0,155.69999999999985,14.731481481481481,12.5
2,Filipino (Tagalog),108,low,70.41666666666667,61.0,144.89999999999995,12.064814814814815,11.0
2,Malay,108,medium,69.30555555555556,56.5,162.29999999999998,10.37962962962963,8.0
2,Irish,107,low,68.13084112149532,58.0,130.89999999999992,12.654205607476635,11.0
2,Punjabi,108,low,68.12037037037037,56.0,120.94999999999997,14.268518518518519,12.0
2,Georgian,84,low,67.71428571428571,56.0,128.39999999999998,9.392857142857142,8.0
2,Lingala,125,low,67.6,58.0,133.79999999999995,11.592,10.0
2,Welsh,107,low,67.0,52.0,142.19999999999993,12.504672897196262,10.0
2,Tamil,105,low,66.4095238095238,55.0,119.6,8.504761904761905,7.0
2,Somali,74,low,66.17567567567568,51.0,159.7,10.837837837837839,8.0
2,Gujarati,109,low,66.12844036697248,56.0,133.6,12.36697247706422,11.0
2,German,106,high,66.10377358490567,58.0,136.5,10.877358490566039,10.0
2,Indonesian,109,medium,66.03669724770643,55.0,150.19999999999982,9.81651376146789,8.0
2,Malayalam,103,low,65.95145631067962,58.0,119.89999999999999,7.485436893203883,6.0
2,Occitan,134,low,65.7910447761194,57.0,149.04999999999998,11.753731343283581,10.0
2,Italian,107,high,65.74766355140187,54.0,159.8999999999998,11.05607476635514,9.0
2,Greek,108,medium,65.56481481481481,57.0,157.19999999999993,11.074074074074074,10.0
2,Estonian,106,low,65.22641509433963,60.5,132.25,10.10377358490566,8.5
2,Vietnamese,105,medium,64.67619047619047,55.0,149.79999999999995,15.104761904761904,13.0
2,Spanish,108,high,64.39814814814815,56.0,121.19999999999993,11.231481481481481,10.0
2,Burmese,99,low,64.25252525252525,57.0,119.0,5.3232323232323235,5.0
2,Hungarian,105,low,64.22857142857143,55.0,149.99999999999997,9.142857142857142,8.0
2,Kyrgyz,97,low,64.17525773195877,56.0,135.7999999999999,9.061855670103093,7.0
2,Serbian,106,low,64.01886792452831,56.0,129.0,11.38679245283019,10.0
2,Azerbaijani,107,low,63.94392523364486,56.0,129.09999999999997,9.0,8.0
2,Khmer,102,low,63.872549019607845,59.5,104.94999999999999,6.176470588235294,3.0
2,Finnish,103,medium,63.84466019417476,52.0,141.59999999999997,8.446601941747574,6.0
2,Kazakh,100,low,63.71,50.5,153.25,9.07,7.0
2,Galician,109,low,63.65137614678899,49.0,162.39999999999998,11.504587155963304,9.0
2,Dutch,105,medium,63.53333333333333,55.0,161.99999999999991,11.571428571428571,9.0
2,Bulgarian,106,medium,63.509433962264154,52.0,140.5,11.29245283018868,9.0
2,Sorani Kurdish,132,low,63.35606060606061,56.0,132.79999999999995,10.098484848484848,9.0
2,Macedonian,104,low,63.26923076923077,55.5,144.49999999999994,11.298076923076923,10.0
